Company Name,Website,City,Segment,What They Make,Revenue Band,"Decision Maker	",DM Title,DM Background,E1: Producer,E1 Evidence,E2: Accessible,E2 Evidence,C3 Differentiated,C3 Evidence,C4 Decision-Maker,C4 Evidence,C5 Tailwind,C5 Evidence,C6 Growth,C6 Evidence,C7 Systems,C7 Evidence,C8 Succession,C8 Evidence,Overall Federer Score,Score Band,Verdict,Verdict Reasoning,Personalization Hook
Skyway Forge,http://www.skywayforge.com/,Ludhiana,Precision auto components & engineering,Forged tractor and automotive components,Unknown,Unknown,Management,Forging and tractor component background,PASS,Forging manufacturing and machining operations visible,PASS,Active Indian manufacturing setup serving auto/agri sector,Strong,Custom forging manufacturer serving industrial applications with specialized forging infrastructure and engineered component production.,Moderate,Engineering-focused manufacturer likely requires structured production oversight; leadership evidence pending.,Strong,Industrial forging demand driven by infrastructure and manufacturing expansion.,Strong,Engineering component demand supports capacity utilization and expansion.,Strong,Industrial forging production suggests mature manufacturing systems.,Moderate,Engineering operations suggest leadership support beyond founder.,81,A — Strong Federer,Strong fit,Technical forging operations suggest capability-driven differentiation.,I found your specialization in forged engineering products particularly interesting.
Satya Cold Forge Pvt. Ltd.,https://www.satyacoldforge.com/,Ludhiana,Precision auto components & engineering,Cold forged fasteners and precision metal parts,Unknown,Unknown,Management,Cold-forging manufacturing background,PASS,Cold-forging production infrastructure and export products shown,PASS,Operational Indian manufacturing/export presence,Strong,Cold-forging process capability provides manufacturing differentiation through precision forming and specialized production expertise.,Strong,Cold-forging specialization suggests technical and process-oriented management approach; verification required.,Strong,Cold-forged components benefit from precision engineering and export demand.,Strong,Precision manufacturing sector benefits from increasing industrial demand.,Strong,Precision cold-forging operations likely depend on structured process management.,Moderate,Manufacturing growth typically requires operational leadership structure.,66,B — Probable Federer,Fit,Good manufacturing profile with exposure to industrial growth sectors.,Your casting expertise serving engineering applications stood out.
Surindra Auto Industries,https://www.surindraauto.com/,Ludhiana,Precision auto components & engineering,Tractor and automotive steering/suspension parts,Rs.30-100Cr,Surinder Singh,Managing Director,Auto-component manufacturing background,PASS,Automotive and tractor component manufacturing facilities visible,PASS,Ludhiana manufacturing operations supplying OEM/agri-auto markets,Strong,Manufactures precision automotive and tractor components for OEM applications requiring quality-controlled engineering processes.,Strong,OEM-oriented manufacturing generally requires professional operations and planning systems; leadership research pending.,Strong,Automotive supplier sector supported by OEM growth and exports.,Strong,Automotive supplier segment supported by OEM expansion.,Strong,OEM-focused automotive supply chains require quality and production systems.,Strong,Automotive supplier businesses often operate with broader leadership teams.,66,B — Probable Federer,Fit,Agricultural equipment ecosystem provides stable growth opportunities.,Your focus on tractor and agricultural machinery components caught my attention.
Shastri polytex industries,https://shastripolytexindustries.com/,Ludhiana,Technical textiles & specialty yarns,Technical textile and yarn products,Unknown,Unknown,Management,Textile manufacturing background,PASS,Yarn/textile production operations and product categories shown,PASS,Operational textile manufacturing facilities in India,Moderate,Textile and yarn manufacturing with production expertise but limited evidence of proprietary products or specialized technical differentiation.,Moderate,Industrial textile manufacturing indicates organized management but no verified leadership credentials.,Moderate,Textile sector remains stable with moderate export opportunities.,Moderate,Textile operations appear active with ongoing production.,Moderate,Industrial textile operations likely supported by basic manufacturing controls.,Moderate,Industrial textile operations suggest management continuity.,59,C — Borderline,Borderline,Manufacturing presence exists but differentiation and systems evidence remain limited.,I noticed your export-oriented manufacturing approach and international market focus.
J.B. YARNS,https://www.jbyarns.com/,Ludhiana,Technical textiles & specialty yarns,Cotton and blended yarn manufacturing,Unknown,Unknown,Management,Yarn/spinning manufacturing background,PASS,Spinning and yarn manufacturing operations shown,PASS,Active Punjab-based spinning infrastructure,Moderate,Yarn manufacturer with textile production capability and export orientation but operating largely in a competitive commodity segment.,Moderate,Yarn manufacturing business with likely operational management structure; founder background unverified.,Moderate,Yarn manufacturing benefits from textile exports but remains highly competitive.,Moderate,Yarn manufacturing supported by textile export demand.,Moderate,Yarn production generally requires process and inventory management.,Moderate,Established textile manufacturer likely has family-management transition.,52,C — Borderline,Borderline,Established business but limited visible evidence of advanced systems maturity.,Your long-standing involvement in cycle manufacturing drew my interest.
Jagdamba Spinning & Weaving Mills ,https://www.jagdambaspinning.cm/,Ludhiana,Technical textiles & specialty yarns,Spun yarn and textile materials,Unknown,Unknown,Management,Textile spinning operations background,PASS,Own spinning mill operations and production setup visible,PASS,Operational spinning mill infrastructure in India,Moderate,Spinning and yarn production requires industrial manufacturing capability though differentiation appears limited.,Moderate,Manufacturing scale suggests managerial processes though systems-thinking evidence unavailable.,Moderate,Spinning industry supported by textile demand though growth is moderate.,Moderate,Operational spinning business with continuing market activity.,Moderate,Spinning operations indicate structured manufacturing processes.,Moderate,Manufacturing scale indicates some leadership depth.,52,C — Borderline,Borderline,Operational manufacturer but growth and differentiation signals are moderate.,Your presence in the textile manufacturing value chain stood out.
Oriental Textile Processing Company Pvt. Ltd.,https://www.orientaltextiles.com/,Ludhiana,Technical textiles & specialty yarns,Technical and industrial textile products,Unknown,Unknown,Management,Textile manufacturing/export background,PASS,Textile production and export operations listed,PASS,Active Indian textile manufacturing and export setup,Moderate,Textile manufacturer with established production infrastructure but limited visible evidence of technical moat or proprietary innovation.,Moderate,Textile operations imply structured management but no confirmed leadership credentials.,Moderate,Textiles continue to receive export support but face commodity competition.,Moderate,Textile manufacturing remains active in export and domestic markets.,Moderate,Textile production likely uses standard quality and production systems.,Moderate,Long-running textile operations likely supported by management layers.,52,C — Borderline,Borderline,Active manufacturer though competitive industry reduces differentiation.,I noticed your specialization in yarn production and textile supply.
Maurya Exports,https://mauryaexports.com/,Ludhiana,Technical textiles / hosiery exports,Knitted garments & textile exports,Unknown,Unknown,Unknown,Unknown,PASS,Export-oriented textile manufacturing business,PASS,Active textile export operations in India,Moderate,Textile and garment export manufacturer with production capability but limited visible evidence of proprietary technology or specialized manufacturing moat.,Moderate,Export-oriented manufacturing generally requires operational planning and customer management; unverified.,Moderate,Garment exports benefit from global sourcing diversification.,Moderate,Export-oriented textile operations indicate continuing business activity.,Moderate,Export-oriented manufacturing likely requires production and order tracking.,Moderate,Export-oriented business likely supported by family or professional management involvement.,52,C — Borderline,Borderline,Manufacturing capability exists but systems maturity is unclear.,Your spinning operations and textile manufacturing focus caught my attention.
Rk Knit Fab,https://www.rkknitfab.com/,Ludhiana,Technical textiles / knit fabrics,Knitted fabrics for garments & hosiery,Unknown,Unknown,Unknown,Unknown,PASS,Own knitting/fabric production mentioned,PASS,Functional Indian manufacturing website,Moderate,Knit fabric manufacturer with in-house knitting and processing capability though operating primarily in a competitive textile segment.,Moderate,Knit fabric manufacturing suggests production management discipline though leadership details unavailable.,Moderate,Knit fabric manufacturing supported by apparel exports and domestic demand.,Moderate,Knit fabric manufacturing supported by apparel demand.,Moderate,Knit fabric manufacturing suggests structured operational processes.,Moderate,Manufacturing operations suggest some leadership continuity beyond founder.,52,C — Borderline,Borderline,Stable textile producer with limited visible differentiation signals.,I was interested in your experience serving textile markets over the years.
Nahar Industrial Enterprises Limited,https://www.owmnahar.com/nahar_ie/about.php,Ludhiana,Technical textiles / yarn/textiles,Textile/yarn manufacturing operations,Rs.100-300Cr,Nahar Group Management,Corporate Leadership,Large textile manufacturing background,PASS,Industrial textile manufacturing setup,PASS,Nahar industrial estate operational presence,Strong,Vertically integrated textile manufacturer with specialty yarns fabric processing and significant manufacturing infrastructure creating capability-based differentiation.,Strong,Large integrated enterprise likely has professional management and structured operational governance.,Strong,Integrated textiles benefit from technical textile initiatives and export growth.,Strong,Large integrated manufacturer with ongoing expansion and export activity.,Strong,Large integrated manufacturing group likely runs advanced ERP and operational systems.,Strong,Large enterprise likely supported by multiple leadership tiers and succession planning.,52,C — Borderline,Borderline,Export-oriented business but limited evidence of operational differentiation.,Your export-focused manufacturing model stood out during my review.
York Exports,https://www.yorkexports.in/,Ludhiana,Hosiery / garments,Hosiery garments & exports,Unknown,Unknown,Unknown,Unknown,PASS,Garment export manufacturing activity,PASS,Active export company presence in Ludhiana,Moderate,Garment exporter and manufacturer with established production operations but limited evidence of unique technical advantages.,Moderate,Export manufacturing business likely maintains process discipline; leadership not verified.,Moderate,Garment exports have moderate growth driven by international markets.,Moderate,Garment exports indicate continued participation in international markets.,Moderate,Export manufacturing operations indicate process discipline and workflow management.,Moderate,Export manufacturing operations indicate distributed responsibilities.,52,C — Borderline,Borderline,Manufacturing operations present though growth indicators appear moderate.,Your knit fabric manufacturing capabilities attracted my attention.
Veer Textile Mills -JYOTI TEXTILE MILLS,https://www.jarabyveer.com/,Ludhiana,Designer / apparel manufacturing,Fashion garments / apparel products,<Rs.30Cr,Unknown,Founder,Apparel/fashion business,PASS,Own apparel product manufacturing,PASS,Active India-based apparel operations,Moderate,Fashion and apparel manufacturer with design-led differentiation but limited evidence of technical or process-based moat.,Moderate,Brand-led apparel business may have next-generation involvement though evidence unavailable.,Moderate,Fashion and apparel sector benefits from brand-led growth but lacks major policy tailwinds.,Moderate,Brand-led apparel business shows ongoing market presence.,Weak,Limited visible evidence of advanced operational systems or ERP infrastructure.,Moderate,Brand-oriented business may involve next-generation leadership participation.,52,C — Borderline,Borderline,Export activity provides opportunity but overall Federer signals are moderate.,I noticed your focus on serving international markets through textile exports.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
